comment_text,comment_speed,comment_service,comment_taste,comment_time
 yayla çorbası harikaydı.,10.0,10.0,10.0,1606687978
"Lezzetiyle, kuryesiyle 10 numara 5 yıldız.",10.0,10.0,10.0,1606601578
Cok lezzetliydi ama servis cok yavasti..,1.0,10.0,10.0,1606342378
Tavukburgerin icindeki sogan tadini bozuyor. Corba biraz tuzsuzdu. Genellikle ama guzel. Tesekkurler.,8.0,8.0,5.0,1605737578
Emeğenize sağlık.,9.0,9.0,9.0,1605478378
Beğendim.,10.0,10.0,10.0,1605305578
Lezzet ve hizmet 10 numara.,10.0,10.0,10.0,1605305578
Menüler harika hemde jokerle bile.,10.0,10.0,10.0,1605219178
"Çorba ne yazık ki dökülmüştü epey. Gelen pilav yanıktı ve azdı, bitmiş ve tencere dibi konulmuş gibi izlenim aldım.",9.0,7.0,7.0,1605219178
Çorba istedim ilk olarak gerçekten çok lezzetliydi sıcaktı pizza karışık çok güzeldi bi o kadarda hızlıydı.,10.0,10.0,10.0,1605219178
Chesecakelerinizi ilk defa denedim gayet güzeldi fakat tiramisu bekledigim gibi değildi.,8.0,8.0,4.0,1605132778
Çok harika.,10.0,10.0,10.0,1604873578
Peynirli ve patatesli 2 ayrı gozleme yedim. Peynirli lorluydu ancak çok kuru ve lezzetsizdi. Patateslide de iç çok azdı daha çok yufka tadı geliyordu.,10.0,10.0,4.0,1604873578
Köri soslu tavuk lezzet olarak gerçekten çok iyiydi..,8.0,9.0,10.0,1604700778
Çok iyi.,10.0,10.0,10.0,1604700778
Jokerle verdiğim siparişten tam fiyatı istediler sipariş bilgisini gösterince indirimli fiyatı ödedim. Sipariş ilk düştüğünde arayıp tam fiyatla yollasam olur mu demişlerdi. Kabul etmemiştim. (1. 5 saatte ve buz gibi gelmiştir bağırsam sesim gelecek uzaklıktadır. ).,1.0,1.0,1.0,1604614378
Fiyatın hakkını veriyorsunuz tebrikler.,10.0,10.0,10.0,1604441578
"Sipariş zamanda geldi. Sezar salata sosu çok kötü, çok tuzlu ve ekşi. Tavuk çok kuru ve ser oldu. Evet, porsiyon büyük, ama lezzetli değil. Plastik tabağı, çatalı istemedim. Koymayın, lütfen yazdım size, ama okumamışsınız, verdiniz bana. Lütfen, yazdığımı okuyun!",9.0,7.0,4.0,1604355178
Tam zamanında ve lezzeti iyi tebrikler teşekkürler.,10.0,10.0,10.0,1604268778
Teşekkürler.,10.0,10.0,10.0,1604268778
Gayet hızlı lezzetli ve hijyenik.,10.0,10.0,10.0,1604144632
Lezzet 10numaraydi kuryenizde çok beyfendiydi elinize sağlık başarılarınızın devamı ile.,10.0,10.0,10.0,1604144632
Gayet başarılı.,10.0,10.0,10.0,1604144632
Teşekkürler çok hızlı ve lezzetliydi. Motorcunuz çok beyefendi.,10.0,10.0,10.0,1604144632
Tesekkur.,10.0,10.0,10.0,1604144632
Ellerinize sağlık çok beğendim.,10.0,10.0,10.0,1604144632
Pilavı biraz lapa idi onun dışında güzeldi.,7.0,8.0,8.0,1604144632
Çok kötü.,1.0,1.0,1.0,1604144632
Emeğiniz için teşekkürler gayet lezzetli ve hızlıydı.,10.0,10.0,10.0,1604144633
Köri soslu menü aldım menüde olan çorba gelmedi.,1.0,1.0,1.0,1604144633
Çok memnun kaldım teşekkür ederim.,10.0,10.0,10.0,1604144633
Lezzita lezzita el mamasita.,9.0,10.0,10.0,1604144633
Hayırlı olsun lezzetli ve hızlı geldi böyle devam idin.,10.0,10.0,10.0,1604144633
