comment_text,comment_speed,comment_service,comment_taste,comment_time
Lezzet hizmet garnitur on numara.,10.0,10.0,10.0,1606665058
Teşekkürler.,10.0,10.0,10.0,1606665058
"Yeşillik istemiyorum soğan istiyorum dedim, soğan yerine yeşillik geldi, hep urfa yiyordum, ilk defa lahmacun söyledim, lahmacun ve çiğ köfte de urfa kadar lezzetli.",10.0,5.0,10.0,1606578658
"13 tl ye yenilebilecek en güzel dürümdü, hız ve serviste 10 numara.",10.0,10.0,10.0,1606578658
"Sağolun, tam vaktinde yetiştirdiniz.",10.0,10.0,10.0,1606578658
Lahmacunu deneyin.,10.0,10.0,10.0,1606492258
"Sonuna kadar hakediyorsunuz, ellerinize sağlık. 2 çeşit ekmek koymuşsunuz. Tırnaklı pide çok güzeldi ve kanatta öyle. Gönül rahatlığıyla söyleyebilirsiniz, lezzetli ve sıcak geliyor.",10.0,10.0,10.0,1606405858
Uzak mesafe siparişi olmasına rağmen hızlı servis. Lezzet konusunda memnun kaldık.,10.0,10.0,10.0,1606319458
Çok aşırı doyurucu lezzeti de gayet iyiydi.,8.0,10.0,10.0,1606319458
Her sey on numara tebrikler.,10.0,10.0,10.0,1606233058
Güzeldi teşekkürler.,9.0,8.0,8.0,1606146658
Lahmacunlar çok özensizdi kenarları yanmıştı salata dedikleri kıvırcık ve domatesten ibaretti sadece soğanda koyabilirlerdi teslimat için 1 saat bekledik geç geldi.,5.0,5.0,5.0,1606060258
Lahmacunlar çook lezzetli.,9.0,9.0,10.0,1605973858
Beyti kebap kötüye gidiyor. Közlenmiş kırmızı degil yeşil biber şart. Tavuk dürüm içindeki salata iyi yıkanmamış olsa gerek ki içinden taş çıktı. Dişlerim sızladı. Biraz özen ve dikkat.,10.0,8.0,8.0,1605973858
Kurye çok iyi.,10.0,10.0,10.0,1605887458
"İlk defa sıcak gelmedi, onun dışında problem yok.",9.0,8.0,9.0,1605887458
Lahmacunlar lezzetli garnitur biraz daha koyarsaniz iyi olur.,10.0,10.0,10.0,1605887458
Hep iyi.,10.0,10.0,10.0,1605801058
Güzel.,10.0,10.0,10.0,1605801058
Beyti kebapta közlenmiş yeşil biber istiyoruz. Sosu biraz daha sıcak ve sulu olabilir. Teşekkürler.,10.0,10.0,9.0,1605714658
Garnitur pide kebab her sey on numara ve cok bol lezzet super.,10.0,10.0,10.0,1605455458
Urfa lahmacunu çok iyiydi ancak normal lahmacun için aynı şeyi söyleyemeyeceğim.,9.0,7.0,8.0,1605369058
Aşırı hızlı geldi sadece tavuk şiş daha küçük dilimlenirse daha iyi pişer biraz az pişmiş gibi geldi ama genel olarak mükemmel bir isletmesiniz acı biberiniz on numara hayırlı bol kazançlar.,10.0,9.0,9.0,1605369058
Tatlı başarısızdı... Hayal kırıklığı oldu.,10.0,9.0,9.0,1605282658
Beyti kebap istedim. Her zamanki gibi içinde közlenmiş biber çıkmayınca menüye baktım. Sumaklı soğan ve mevsim yeşillikleri de şimdiye kadar hiç konmamış. Ya menünün güncellemesi ya da eksik gönderilmemesi gerekir. Bilgi de verilirse buradan sevinirim.,10.0,9.0,9.0,1605196258
Çok lezzetli.,10.0,10.0,10.0,1605109858
Mükemmel.,10.0,10.0,10.0,1605109858
Güzel ama porsiyon biraz azdı.,10.0,6.0,10.0,1605023458
Mükemmel ötesi.,10.0,10.0,10.0,1605023458
Beyti kebap harika. Lahmacun hamur üzerine eşit dağıtılmamış. Ya hamur büyük ya da içi az. Biraz dikkat.,10.0,10.0,9.0,1605023458
Acılı ezme birkaç gün beklemiş gibiydi kötüydü lahmacun iyiydi ama salataya soğan eklerseniz çok çok daha iyi olur.,7.0,8.0,6.0,1604937059
Ellerine sağlıkbirde acı biber közlenmiş olsa yanında efsane olurdu.,10.0,10.0,10.0,1604677859
Çok hızlı geldi. Serviste de bir sorun görmedim. Adanalar çok güzeldi. Tek sıkıntı gelen kolanın sıcak olmasıydı o da bu seferlik olsun. Elinize sağlık...,10.0,10.0,10.0,1604677859
Her şey çok güzel. Özellikle beyti kebap:).,10.0,10.0,10.0,1604591459
Yemek biraz soğuktu ve zero yerine şekerli kola göndermişlerdi. Normalde en çok sipariş verdiğim ve çokta sevdiğim bir restorandır fakat bu sipariş hiç mutlu etmedi.,9.0,10.0,8.0,1604591459
Lahmacunlar güzel ve sıcak olduğu için teşekkür ederim... Kurye arkadş da güler yüzlü ve hızlı olduğu için teşekkürler. Adamsn kurye.,10.0,9.0,10.0,1604591459
Kapıda bebek bezlerini görüp kapıyı çalmak yerine hafifçe tıklatan arkadaşa teşekkürler.,10.0,10.0,10.0,1604505059
Teşekkürler.,10.0,10.0,10.0,1604418659
"Hayırlı çalışmalar ben çok eski müşterinizim sizden defalarca ürün sipariş ettim çokta memnun kalıyordum fakat son 3 siparişimde servis süresi, lezzet ve hizmette çok ciddi düşüş olduğunu görüp uyarmak istedim biz sizin ürünlerinizi beğenerek yediğimiz için kolay gelsin hayırlı çalışmalar...",1.0,1.0,1.0,1604418659
Köfte söledim 1. 20dk geldı ve kofte kıfte deıldı kofte harıç hersey yedım.,1.0,1.0,1.0,1604418659
Her zamanki gibi efsane...,10.0,10.0,10.0,1604332259
Salatanın içine soğan olursa daha iyi olur ama puan kırmadım sıcaktı ve hızlı geldi tesekkurler :).,10.0,10.0,10.0,1604245859
Gayet güzeldi her şey teşekkürler..,10.0,10.0,10.0,1604121713
Servis daha hızlı olabilir 50 dk ya geldi.,8.0,10.0,9.0,1604121713
"Çok hızlı geldi, her zamanki gibi güzeldi.",10.0,9.0,9.0,1604121713
"Yine yeni yeniden ellerinize sağlık, çok iyi, hızlı ve sıcak geldi. Yanına birde turşu koysanız efsane olucak. Yada közlenmiş biber.",10.0,10.0,10.0,1604121713
Çok güzeldi adana dürüm harikaydı teşekkürler.,10.0,10.0,10.0,1604121713
Gayet güzel tavsiye ediyorum.,10.0,10.0,10.0,1604121713
Tavuk şiş güzeldi ancak göğüsten yapıldığı için sertleşmişti buttan yapılırsa daha lezzetli olur onun dışında servis her zaman ki gibi güzeldi.,10.0,10.0,8.0,1604121713
Yarım ekmek arası köfte de 3 köfte olmadı. Sırf salata ve ekmek yedik. Diğerleri güzeldi.,9.0,10.0,9.0,1604121713
Lahmacunlar güzeldi.,10.0,10.0,10.0,1604121713
Malesef bu sefer olmamsiti kanatlar pismemisti.,10.0,10.0,1.0,1604121713
Dürümün ıçine domates ve yeşillik koymayin yazdığım halde koymuşlar. Cok zor bisey değil yani bi notu okumak.,7.0,1.0,8.0,1604121713
Soguk geldi künefe yanmıştı misafirime rezil oldum.,1.0,1.0,1.0,1604121713
