comment_text,comment_speed,comment_service,comment_taste,comment_time
Çok güzeldi.,10.0,10.0,10.0,1606625235
Şimdiye kadar yediğim wrapler içinden en iyisi.,10.0,10.0,10.0,1606625235
Biri domatesli biri domatessizdi yazıları karışmış.,10.0,6.0,10.0,1606625235
Benim gibi evde ders dinlerken delicesine acıkanlar için çok hızlı bir sipariş ve leziz bir yemek imkanı sağlıyor.,10.0,10.0,10.0,1606538835
Pişmemişti.,6.0,5.0,5.0,1606538835
Her şey çok iyiydi ekmek gece 5-6 olmasına rağmen tazeydi malzemeler kaliteliydi çok hızlı geldi ve doyurucuydu ellerinize sağlık.,10.0,10.0,10.0,1606538835
"Yarısını yedikten sonra aklıma geldi baktım siparişi vermemin üzerinden 20 dk geçmiş. Sanırım bir medyum elemanları var siparis gelmeden tahmin edip hazırlanıyor başka bir açıklama bulamadık çünkü yakın mesafeden de sipariş vermedik. Fiyat olarak uygun, lezzeti harika, hızına yetişen yok.",10.0,10.0,10.0,1606452435
Sulu çıtır dolu dolu tavuklar sıcacık ve minimum sürede geldi. Gayet doyurucu. Tek eksiği yanında turşu yoktu ve turşusu pahalı. Sosu lezzetli.,10.0,7.0,10.0,1606452435
İdare eder.,8.0,8.0,8.0,1606452435
Çok hızlı ve sıcak geldi ama üzerinde keşke peynir konup konmadığı yazsaymış peynirle pek güzel gitmedi.,10.0,10.0,9.0,1606452435
Porsiyon küçüktü.,8.0,8.0,8.0,1606452435
Siparişim çok hızlı geldi ancak karışmış olduğunu düşünüyorum çünkü peynirli olması gereken siparişimde peynire dair hiçbir şey yoktu. Aynı zamanda buzz gibi gelmişti ekmek lastik gibiydi. Üzgünüm bu sefer hiç beğenmedim.,9.0,6.0,3.0,1606452435
Hızzzzzlı.,10.0,10.0,10.0,1606452435
Kelimeler ile anlatılacak bir lezzet değil kesinlikle denemelisiniz.. Bundan sonra favorimsin chicken farm.,10.0,10.0,10.0,1606452435
Tavukların fileto olması gayet güzel. Benim için önemli olan içinden olmadık parçalar çıkmamasıydı. Çok sıcak geliyor ama bu gerçekten kuryelerinizin güvenliğinden daha önemli değil. Yavaş yavaş gelin her zaman gelin. Teşekkürler. Lezzetli.,9.0,10.0,10.0,1606452435
Mükemmel.,10.0,10.0,10.0,1606366035
Son zamanlarda sıklıkla sipariş verdiğimiz yer ve gayet lezzetli ve çoğunlukla indirimde bir şeyler yakalayabiliyoruz. Fiyat performans değerlendirmesi 10/10 benim için.,10.0,10.0,10.0,1606366035
"Sıcak, lezzetli ve doyurucu. Notlara dikkat ediliyor. Daha yüksek puanı hakediyor.",10.0,10.0,10.0,1606366035
Çok güzeldi teşekkürler.,10.0,10.0,10.0,1606366035
Çok güzeldi be.,10.0,10.0,10.0,1606366035
Ürün güzeldi fakat soslar cok azdı.,10.0,10.0,5.0,1606366035
Ben seviyorum burayı hep standart lezzet.,10.0,10.0,10.0,1606366035
Bir gün değil her gün...,10.0,10.0,10.0,1606366035
Git gide bozuyorsunuz ya da ben her gün yiye yiye bozuldum ama puanım 8 kanka.,10.0,10.0,8.0,1606279635
Muhteşem.,10.0,10.0,10.0,1606279635
Kısa süre indirimdeyken sipariş verdim ve söylemeliyim ki verdiğim paraya göre lezzeti çok güzeldi. Tavuklar güzel pişmişti ve lezzetliydi. Restorana teşekkür ederim.,9.0,8.0,10.0,1606279635
"Hız, lezzet ve sıcacık servis. En sevdiğim. Bu işi hakkıyla yapıyorsunuz. Teşekkürler.",10.0,10.0,10.0,1606279635
Her zaman sipariş verdiğimiz yer yoğunluk varmış tamam ama 1. 30 saatte de üç tane durum gondermezsin. Streclenmemis bile kağıt ıslanmış durum hamur olmuş tadı tuzu yoktu çok şaşırdık. Haftada en az dört kere sipariş veriyoruz.,1.0,1.0,1.0,1606279635
Gizeldi.,10.0,10.0,10.0,1606279635
Severek tüketiyorum başarılıydı.,9.0,9.0,9.0,1606279635
"Fiyatına göre ideal, daha özenli paketleme yapıla bilirdi. Hız olarak güzel.",10.0,8.0,8.0,1606279636
İyi.,9.0,9.0,9.0,1606279636
Porsiyonları çok küçük fakat tadı güzel.,8.0,4.0,10.0,1606279636
Köttü.,1.0,1.0,1.0,1606279636
Çok özenli.,10.0,10.0,10.0,1606193236
Kuryenin tutumu.,1.0,1.0,1.0,1606193236
Kurye patronun oğlu sanırım. Bu şekilde bir tavır sergilemesi normal değil.,1.0,1.0,1.0,1606193236
Tavuklar çok kuruydu ranch sos nerdeyse yok gibiydi yanında istediğim soslar eksik geldi.,1.0,1.0,1.0,1606193236
1 buçuk saatte geldi patates kızartması yoktu lavaş kurumuştu.,1.0,1.0,1.0,1606193236
Verdiğim siparis eksik geldi.,4.0,4.0,4.0,1606020436
Harika lezzet.,10.0,10.0,10.0,1606020436
Güzel.,10.0,10.0,10.0,1606020436
Lezzeti eskisi gibi değil hız iyi gibiydi. Kuryeniz çok kaba adresi arıyor neresi diyoruz homur homur tesr ters konuşuyor.,8.0,1.0,1.0,1606020436
Ortalama bir lezzet.,10.0,7.0,6.0,1606020436
Ellerinize sağlık.,10.0,10.0,10.0,1605934036
