comment_text,comment_speed,comment_service,comment_taste,comment_time
Teşekkürler.,8.0,8.0,8.0,1606680228
Teşekkürler.,8.0,8.0,8.0,1606680228
Teşekkürler.,9.0,8.0,9.0,1606680228
Baharatindan sanırım birkaç köfte gıcır gıcır ötünce dişlerimin arasında çok mutlu olduğumu söyleyemem.,6.0,6.0,6.0,1606593828
Güzel.,9.0,9.0,9.0,1606593828
1. 5 saatte geldi sadece kuryenin naifliği ve nezaketi için ordan puan kirmiyorum karışık sandviç çok kötüydü...,10.0,1.0,1.0,1606421028
Çok lezzetliydi.,10.0,10.0,10.0,1606421028
Tavuk ciğeri yedirdiler bize ayrıca peçete ıslak mendil yok tavuk ciğerine dünyanın parasını vedik.,8.0,3.0,3.0,1606334628
Süper.,10.0,10.0,10.0,1606334628
"Fiyata göre harika, sürekli yediğimiz yer ve kuryeler gerçekten çok kibar.",10.0,10.0,10.0,1606334628
Hos.,10.0,10.0,10.0,1606161828
Harka lezzet.,10.0,10.0,10.0,1606161828
Ciğer dürüm olmadıkları için aradılar delerseniz ekmek arası karışık yada tavuk yapabiliriz dedikler tavuk istedim ve gerçekten güzeldi ama yarım ekmek karışıkları çok kötü bence tavsiye etmiyorum.,9.0,8.0,6.0,1606075428
"Lezzet olarak gercekten cok doyurucuydu, hizli ve sıcak geldi.. Paketci arkdasin samimiyeti ve guler yuzu icin bile siparis verilebilir. Cok tesekkur ederim.",10.0,10.0,10.0,1605989028
Fiyatına göre iyiydi ama 3/4 ekmek içindeki köfte azdı.,9.0,7.0,7.0,1605989028
İdare eder.,9.0,8.0,7.0,1605989028
Teşekkürler.,9.0,9.0,9.0,1605989028
Iyi.,9.0,8.0,9.0,1605989028
Doyurucu.,10.0,10.0,10.0,1605902628
Büyük ayran istedim küçük geldi sucukta baya tuzluydu.,10.0,1.0,1.0,1605816228
Sipariş notum dikkate alınmamış malzemeler iyi pişmemiş yiyemedik çöpe attık maalesef paramizda tbi çöpe gitti yazık çok yazık üzüldük.,1.0,1.0,1.0,1605297828
İi.,10.0,10.0,10.0,1605211428
Anlatmaya gerek yok.,10.0,10.0,10.0,1605125028
Güzel.,9.0,9.0,9.0,1605038628
Lütfen yapmayın indirimli söyledik diye malzemeden bu kadar kısılmaz lütfen ayıp isminizin hakkını verin.,10.0,8.0,5.0,1604865828
Güzeldi elinize sağlık. Görkem kardeşim ayagına saglık tesekkürler.,10.0,10.0,10.0,1604779428
Teşekkür ederim.,9.0,9.0,9.0,1604693028
Fiyat performans mekanı.,8.0,8.0,8.0,1604693028
"8 köfte vardı, 2 köfte eksikti..",8.0,8.0,8.0,1604050483
Güler yüzlü ve hızlı teslimat lezzette üstüne eklenirse daha ne olsun elinize sağlık.,10.0,10.0,10.0,1604050483
Kofte harikaydi bayildim.,10.0,10.0,10.0,1604050483
Bence servis kalitesine bakarsak çok haksızlık edilmiş.. Number one teşekkürler arkadaşlar çok iyisiniz...,10.0,10.0,10.0,1604050483
Köftesi ve tavuğu harikaydi.,10.0,10.0,10.0,1604050483
Yemek mükemmeldi restoranı herkese tavsiye ederim.,10.0,10.0,10.0,1604050483
Süper süper bayıldım.,10.0,10.0,10.0,1604050483
Elerinize saglık çok lezetliydi.,10.0,10.0,10.0,1604050483
Lezzetli ve hızlı siparis siddetle tavsiye ederim.,10.0,10.0,10.0,1604050483
Tek kelimeyle harika.,10.0,10.0,10.0,1604050483
"Çok lezzetli ve porsiyonu dolgundu, çok hızlı bı şekilde getirdiler mükemmel ötesi.",10.0,10.0,10.0,1604050483
Cok lezzetli ve hızlı güvenli bi şekilde yemek yenilecek bir işletme ellerine sağlık.,10.0,10.0,10.0,1604050483
Paket çok hızlı geldi ekmek sıcaktı ve lezzetliydi ellerinize sağlık.,10.0,10.0,10.0,1604050483
Cok iyidi ve hizli geldi puani dusuk olmasina sasirdim.,10.0,10.0,10.0,1604050483
Elinize sağlık.,10.0,10.0,10.0,1598790991
Puanlar dusuk diye tereddut ettim ama cok lezzetliydive kisa zamanda geldi.,10.0,10.0,10.0,1598790991
Buz gibiydi ve ekmekler çok bayattı kendim tekrar tost makinası basmak zorunda kaldım ve kuryeleri çok soğuk.,1.0,1.0,1.0,1598790991
Kanlı tavuk yemek istiyenlerin tek adresi.,1.0,1.0,1.0,1598790991
Çok beğenerek yiyiyorum herkese tavsiye ederim :).,10.0,10.0,10.0,1598790991
Çok lezzetliydi elinize sağlık.,10.0,10.0,10.0,1598790991
Tat konusunda cok iyiy di paketleme cok nizamliydi ve cok beklemedik ellerinize saglik.,10.0,10.0,10.0,1598790991
Ellerinize sağlık çok lezzetliydi.,10.0,10.0,10.0,1598790991
Ellerınıze sağlık tat ve hız olarak ıyı dı saatlerce beklemedık.,10.0,10.0,10.0,1598790991
Menüleri yanlış bilgilendirme iceriyor. Eksik urun gobderiyorlar. Ayrica odeme online yapildigi halde kapida tekrar para istiyorlar. Musterilerini dogru takip edemiyorlar.,1.0,1.0,1.0,1598790991
İçindekiler rastgele koyulmuş.,10.0,10.0,1.0,1596161245
Güzeldi sadece biraz kuru tatsız geldi kofte.,8.0,7.0,6.0,1593531499
Cok hizli geldi ayrica cok lezzetliydi.,10.0,10.0,10.0,1593531499
