comment_text,comment_speed,comment_service,comment_taste,comment_time
"Hamuru yağ kokuyordu, lezzetsiz ve sertti. Üstüne koyulan malzemeler konusunda oldukça fazlaydı.",10.0,8.0,5.0,1606515208
Güzeldi.,7.0,10.0,10.0,1606515208
"Bol meyveli, guzel yalniz cikolatasi daha guzel olabilirdi. Sandwich waffle da normal waffle nin sarmis hali.",10.0,10.0,7.0,1606083208
Hamur sertti ve çikolata azdı.,10.0,10.0,5.0,1606083208
Elinize sağlık.,8.0,8.0,8.0,1605910408
"Ben yemedim, misafirler icin soylemistim begendiler.",10.0,10.0,10.0,1605824008
Müthiş bi lezzet çok güzeldi her zamanki gibi ellerinize sağlık.,10.0,10.0,10.0,1605824008
Meyveler taze ve güzeldi soslarda güzeldi ve oldukça boldu.,10.0,10.0,10.0,1605737608
Soslar ve çikolata lezzetliydi fakat waffle hamuru çok sertti.,10.0,10.0,4.0,1605737608
"Daha çok şekerme, meyve vs çeşidi olabilirdi.",8.0,8.0,10.0,1605651208
"Efsaneydi, içi o kadar boldu ki. Teşekkür ederim, kurye de çok nazikti.",10.0,10.0,10.0,1605392008
Bayat gibiydi hic beğenemedik sertti hamuru hayalkırıklığına uğrattı.,6.0,1.0,1.0,1605305608
Fena değil ama hamuru sertti. Belki de bana öyle denk geldi.,10.0,9.0,7.0,1605132808
Lezzet guzel fakat meyvesoleninizi bardakta diye belirtin lutfen.,9.0,8.0,9.0,1605132808
Teşekkürler.,9.0,9.0,9.0,1605046408
"Taze, leziz, harika teşekkürler.",10.0,10.0,10.0,1604960008
Leziz değildi. Nutella yerine peripella vardı.,9.0,9.0,3.0,1604873608
2 parça çakıl taşı koyduğunuz için teşekkürler.,1.0,1.0,1.0,1604700808
Müthiştiii tek kelime ile elinize sağlık.,10.0,10.0,10.0,1604268808
Güzel ama hamur çooook ince.,10.0,10.0,10.0,1604182408
Süper süper süper bir lezzet.,10.0,10.0,10.0,1604182408
"Çok cok lezzetli, boll malzemeli :) getiren arkadaş da cok kibar. Waffleları denemeyen varsa hiç dusunmeden siparis verebilir :).",10.0,10.0,10.0,1603885462
Her zamanki gibi muhteşemdi.,10.0,10.0,10.0,1603885462
Malzemesi bol waffle için teşekkür ederiz.,10.0,10.0,9.0,1603885462
Bayıldım yediğim en güzel wafflelardan biriydi.,10.0,10.0,10.0,1603885462
Abi porsiyonlar çok küçük ya.,8.0,8.0,6.0,1603885462
Ben gayet beğeniyorum servis süresi de uygun bence. Başarılarinizin devamını diliyorum.,10.0,10.0,10.0,1603885462
Baya iyi.,9.0,9.0,9.0,1603885462
Seçtiğim şekerlemeler doğru değildi.,9.0,7.0,8.0,1603885462
Kuryeniz çok kibardı ve waffle lezzetliydi.,10.0,10.0,10.0,1603885462
Çikolata olarak nutella kullanılabilir.,9.0,10.0,9.0,1603885463
Jokerle söylememe rağmen waffle eksiksiz bol malzemeli hazırlanmıştı. İstisnasız waffle da tek tercih ettiğim yer.,10.0,10.0,10.0,1603885463
Hızlı fakat çok güzel diyemem.,10.0,10.0,9.0,1603885463
Waffle hamuru çok sertti. Malzemeleri bol koymuşlar ama hamuru sert olduğu için sadece meyveleri yiyebildik.,9.0,5.0,1.0,1603885463
"Lezzet aslında iyi, ama aşırı ince porsiyon.",8.0,3.0,7.0,1603885463
Bayılarak yiyorummm.,10.0,10.0,10.0,1603885463
"Rulokat istemiştim cımbızla aradım ama bulamadım:(tr opikal aroması fazla kötü, onun haricinde güzeldi :).",9.0,9.0,5.0,1603885463
10 numara 5 yıldız kuryeye çok teşekkürler daha güzel olabilirdi.,10.0,10.0,10.0,1603885463
Müthiş.,10.0,10.0,10.0,1603885463
"Ne diyebilirim, sizi seviyoruz...",10.0,10.0,10.0,1603885463
Hamuru pisirip dolapta bekletmiscesine soguk geldi. Niye buz gibi waffle gondermek istediniz anlamadik. Hamur cok kalin ve yumusak. Daha iyi olmali.,10.0,9.0,6.0,1603885463
Uzun zamandır yediğim en lezzetli tatlı.,10.0,10.0,10.0,1603885463
Günden güne kendini geliştiren bi işletme. Her siparişte lezzet daha da artıyor.,9.0,9.0,9.0,1603885463
Bence daha fazla malzeme olabilir sınırlı seçim yapmak ne bileyim biraz garip en fazla 2 malzeme ona okey ama en azından çikolata seçimi 4 olabilir veya sos seçimi bir daha sipariş vereceğimi düşünmüyorum zorda kalmadıkça.,6.0,6.0,6.0,1603885463
"Jokerle söylememe rağmen malzemeler taze ve boldu kısa sürede teslimat oldu. Paketleme, lezzet 10/10.",10.0,10.0,10.0,1603885463
Hamuru daha ve karamel sosu daha iyi olsaydı çok güzel olacaktı. Frambuazlı sosunuz da olsa keşke. Yine de güzeldi elinize sağlık.,10.0,10.0,8.0,1603885463
"Böyle güzel çilekleri sürekli nerden bulduklarını anlamak güç, çok güzel bir waffle. Ayrıca paketçileri çok kibar ve sıcakkanlı birisi.",10.0,10.0,10.0,1603885463
Gerçekten mükemmeldi teşekkürler.,10.0,10.0,10.0,1601255717
Hamuru kalın ve sert bayat gibiydi. Kullanılan çikolata ve çikolata sosuda kalitesizdi.,7.0,7.0,4.0,1601255717
Mukemmeldi.,10.0,10.0,10.0,1601255717
Waffle hamuru biraz daha sicak olsaydi puanim 10 du. Lezzeti guzel.,8.0,7.0,9.0,1601255717
Meyveler oldukça taze olmasına rağmen o kadar az çikolata koyulmuştu ki waffle gibi gelmedi bana. Ayrıca fiyatına göre porsiyon bana oldukça küçük geldi.,8.0,7.0,6.0,1601255717
Çikolata çok azdı.,10.0,8.0,1.0,1601255717
Harikasınız.,10.0,10.0,10.0,1601255717
Çok başarılıydı beklenilenin katbekat üstündeydi elinize sağlık.,10.0,10.0,10.0,1601255717
Sizinle gönül bağımız var...,10.0,10.0,10.0,1601255717
Hem hız hemde waffle çok iyiydi.,10.0,10.0,10.0,1601255717
"Ben gayet başarılı buluyorum, hızları yerinde malzemeler güzel.",9.0,9.0,10.0,1601255717
Mükemmel.,10.0,10.0,10.0,1601255717
Wafflelar aşırı güzeldi.,10.0,10.0,10.0,1601255717
Yediğim en kötü waffle diyebilirim çikolata tabanda yok denecek kadar azdı çok fazla meyve vardı ve çilek ekşi olur mu nasıl yaptıysanız ekşiydi verdiğim paraya üzüldüm lütfen dikkat edin. Hayırlı işler.,7.0,9.0,1.0,1601255717
Kendileri çok ilgiliydi. Memnun kalıp kalmadığımızı sormak için aradılar.,9.0,10.0,9.0,1601255717
Berbatti waffle ustundekihersey dağılmıştı.,1.0,1.0,1.0,1601255717
Kullandığınız çikolatayı acil değiştirin. Yiyemeden direkt çöpe attık maalesef..,3.0,3.0,3.0,1601255717
Sürekli sipariş veriyorum. Harikalaar.,10.0,10.0,10.0,1601255717
Buz gibiydi.,5.0,9.0,3.0,1601255717
Biraz soguk geldi.,10.0,10.0,7.0,1601255717
Gercekten cok guzeldi ne meyveden ne cikolatasından ne de sosundan asla kısmamışlar harika ve lezzetliydi.,10.0,10.0,10.0,1601255717
Her zaman söyleriz. Waffle hep güzel geliyor.,10.0,10.0,10.0,1601255717
Süsleme iyi fakat geliştirilebilir.,10.0,7.0,6.0,1601255717
Sıcaklığını kaybetmişti onun dışında iyiydi.,9.0,8.0,9.0,1601255717
Ankarada yediğim en güzel waffle.,10.0,10.0,10.0,1601255717
Kurye arkadaş gece geç saat olduğucu icin kapının ziline basmayıp telefonla araması bence çok iyi ve örnek davraniş ayriyette çok güler yüzlü bir beyefendiydi her kurye keşke böyle olsa hayırlı işler bol kazançlar.,10.0,10.0,10.0,1601255717
Temiz hızlı işletme seviyoruz.,10.0,10.0,10.0,1601255717
"Muzların biraz içi geçmiş gibiydi, ama size gönülden bağlıyız... İnş porsiyonlar küçülmemiştir de biz açlıktan ilüzyon görmüşüzdür.",7.0,10.0,9.0,1601255717
Hamur çok taze değildi. Akşam sipariş verdim hamur sanki sabahtan yapılmış gibi sertti.,9.0,6.0,6.0,1601255717
Güzel.,10.0,10.0,10.0,1601255717
Tek sorun waffle ekmeğini sanırım biraz beklediği için parçalamak zordu onun dışında çok lezzetli ve keyif vericiydi.,10.0,10.0,9.0,1601255717
Mükemmel!,10.0,10.0,10.0,1601255717
Notumuzu okuduğunuz için teşekkür ederim vazgeçilmezimissiniz hep böyle kalın.,10.0,10.0,10.0,1601255717
Mükemmel.,10.0,10.0,10.0,1601255717
Beklediğimizden hızlı ve çabuk geldi sorunsuz teşekkürler yeni adresimizde waffle adresimiz belli oldu..,10.0,10.0,9.0,1601255717
Biraz geciktiği için maalesef soğuk geldi onun dısında güzeldi.,8.0,10.0,8.0,1601255717
Gayet güzeldi ama kestane biraz daha bol olabilirdi.,10.0,10.0,8.0,1601255717
Buz gibi geldi.,8.0,5.0,5.0,1598625971
Güzel.,8.0,8.0,9.0,1598625971
20-25 dk da geldi. Cafelerde zaten siparis verdiginizde bu kadar bekliyorsunuz. Paketleme guzeldi. Waffle in tipi kaymamisti. Geldiginde hala sicakti. Meyveler cok taze ve boldu. Hamuru ince ama sert degil. Sanirim favori waffle cim artik burasi.,10.0,10.0,10.0,1598625971
Çok lezzetliydi.,10.0,10.0,10.0,1598625971
Yazdığım notu dikkate aldığınız için çok teşekkürederim :) çok lezzetli ve hızlı.,10.0,10.0,10.0,1598625971
Kesinlikle çok çok iyi waffle yapıyorsunuz hemde bol meyveli süpersiniz.,10.0,10.0,10.0,1598625971
Güzeldi.,10.0,10.0,10.0,1598625972
Seçeneklerde fındık vardı ama koyulmamış.,5.0,9.0,2.0,1598625972
Çilekler özellikle iyiydi.,10.0,10.0,10.0,1598625972
Mükemmel lezzet.,10.0,10.0,10.0,1598625972
Sandeviç waffle çok güzel.,10.0,10.0,10.0,1598625972
Yedigim en iyi waffle.,10.0,10.0,10.0,1598625972
Malzeme boldu ama hamuru kötüydü.,8.0,9.0,8.0,1598625972
Önceden malzeme seçeneği daha fazlaydı artırılsın tekrar :(.,10.0,8.0,10.0,1598625972
Gayet başarılı.,10.0,10.0,10.0,1598625972
Waffle hamuru bayat gibi çok sertti ayrıca yolladıkları sütün son kullanma tarihi 1 ay geçmişti.,7.0,1.0,1.0,1598625972
Saat gecenin 3ünde böyle bir lezzet böyle bir kibarlık. 11 olsa hakediyolar.,10.0,10.0,10.0,1598625972
Kurye çok kibardı ancak wafflede istemedigim malzemeler vardı ve bazı istediğim malzemeler yoktu.,9.0,10.0,7.0,1598625972
"Servis iyiydi. Ama şavurma kötü. Konyada şawarma yiyenler belki benzeridir diyerek söylemesin benim gibi, alakasız bir yiyecek.",8.0,9.0,7.0,1598625972
Harika bir işeltme wafflelar muhteşem.,10.0,10.0,10.0,1598625972
İyiydi.,9.0,9.0,8.0,1598625972
"Waffle hamuru efsaneydi. Normalde hamile olduğum için geç saatte yediğim her şey dokunuyor ama waffle kesinlikle dokunmadı. Malzemeler bol boldu. Teşekkürler, elinize sağlık.",9.0,9.0,10.0,1598625972
Tadı çok güzeldi.,8.0,9.0,9.0,1598625972
İyi.,10.0,8.0,10.0,1598625972
Kesinlikle daha çok servis hizmeti sağlamalısınız harika lezzet.,10.0,10.0,10.0,1598625972
Gayet güzeldi.,9.0,8.0,9.0,1598625972
"Kurye güleryüzlüydü ve çok kibardı, tadı da çok güzeldi ve içi çok doluydu çok teşekkür ederiz :).",8.0,10.0,10.0,1598625972
Benden önceki müşterinin apartmanında asansörde kalmıştı kurye ama çok iyi kalpli birisydi bir çok kez soğuduğu için değiştirebileceğini söyledi ancak çok geç saat olduğu için gerek duymadım güler yüz ve düşünmek yeter benim için waffleda baya güzeldi başarılar çok beğendim.,9.0,9.0,9.0,1598625972
Biraz geç gelmesine ragmen güzel bir waffle yedim. Üstündeki malzemelerden meyvelerden hamura ulaşamadım o derece :) teşekkürler.,5.0,10.0,10.0,1598625972
Wwwwoooaaahhhh.,8.0,10.0,10.0,1598625972
Yemeksepetindeki en nazik kuryeye ve en iyi wafflea sahipler.,10.0,10.0,10.0,1598625972
"Hızlı gelmesini rica ettik çok hızlı geldi teşekkür ederiz, tadı da çok iyiydi yapıyosunuz bu işiii hayırlı işler.",10.0,10.0,10.0,1598625972
Ikram olarak arkadaşıma yolladim kuryesi aradı çok nazik bir beyefendi güzel bir şekilde teslim etti.,10.0,10.0,10.0,1598625972
Munch.,10.0,10.0,10.0,1598625972
Cidden harikaydı kuryenize teşekkürler dağıtmadan getirmesini söylemiştim aynı öyle geldi lezzeti mükemmeldi kötü yorumu kesinlikle hak etmiyorlar.,10.0,10.0,10.0,1598625972
Süper.,10.0,10.0,10.0,1598625972
Çok kibar bir işletme.,10.0,10.0,10.0,1598625972
Gayet güzeldi ayrıca kuryeye güler yüzü ve hızı için teşekkürler.,10.0,10.0,10.0,1595996226
O kadar hizli geldi ki anlatamam. Suan tekrar soyluyoruz.,10.0,10.0,10.0,1595996226
Bayılıyorum bol malzemeli harikaaaa.,9.0,9.0,10.0,1595996226
Önceden malzeme seçenekleri daha çoktu eski düzeni istiyoruzzzzzz :(.,10.0,8.0,8.0,1595996226
Başarısız.,2.0,2.0,2.0,1595996226
Gayet lezzetliydi...,9.0,9.0,9.0,1595996226
Harikaaaa!,10.0,10.0,10.0,1595996226
Her zamanki gibi mükemmell..,10.0,10.0,10.0,1595996226
"Notlar dikkate alınıyor, lezzet enfes.",10.0,10.0,10.0,1595996226
Waffle in en iyi adresi hersey çok güzeldi.,10.0,10.0,10.0,1595996226
İyi.,8.0,10.0,6.0,1595996226
Teşekkürler.,10.0,10.0,10.0,1595996226
Tadı da sunumu da çok güzeldi. Kurye de güler yüzlüydü.,9.0,9.0,10.0,1595996226
Kurye.,10.0,10.0,10.0,1595996226
Hizli gonderim ve bol malzeme icin tesekkurler.,10.0,10.0,10.0,1595996226
Başarılı.,10.0,10.0,10.0,1595996226
Çikolata dışında malzeme boldu. Hızı da iyidi.,9.0,7.0,8.0,1595996226
Her zamanki gibi harikaydı. Elinize sağlık. Kurye çok güleryüzlüydü kendisine çok teşekkür ederim.,10.0,10.0,10.0,1595996226
Güzel.,10.0,10.0,9.0,1595996226
Kesinlikle çok güzel bir lezzet :).,7.0,9.0,9.0,1595996226
Sıcak değil ve dağılmış bi şekilde geldi çikolata sos mos hiç bişey yok.,1.0,1.0,1.0,1595996226
Hamurunu bi pişirseydiniz keşke.,3.0,5.0,1.0,1595996226
Muhteşem burabıb waffle na bayılıyoruz.,10.0,10.0,10.0,1595996226
17dk da geldi. Malzemeleriniz orta derece. Ama waffle hamuru çok ince ve sertti. Yumuşak ve orta kalınlıkta olmalı ki rahatca yiyelim. Yolladığınız çatal bıçağınızı keserken kırdım. Hata bende ki diye düşündüm kendim bıçakla keserken bile zorlandım normal geldi. Hoş değildi cidden.,10.0,8.0,4.0,1595996226
Müthişti.,10.0,10.0,10.0,1595996226
