comment_text,comment_speed,comment_service,comment_taste,comment_time
Köfteler biraz çiğ kalmıştı ama elinize sağlık iyi çalışmalar.,8.0,8.0,8.0,1606673627
Çok yağlıydı.,7.0,7.0,6.0,1606241627
Beyendim tavsiye edebilirim.,9.0,9.0,9.0,1606068827
Yanlış ürün gönderdiler.,2.0,1.0,1.0,1605809627
Guzel.,8.0,8.0,8.0,1605723227
Guzel.,8.0,8.0,8.0,1605723227
Baya iyiydi servis felan süresi iyiydi.,10.0,10.0,10.0,1605723227
Hızlı servis lezzet sıfır köfte çok kötü salata taş dolu içi çatır çutur taş kırdık resmen dişlerimizle.,9.0,7.0,5.0,1605636827
Başarılı tavuk kanadinizi da deneyeceğim.,10.0,10.0,10.0,1605464027
Sıcak ve hızlı servis.,10.0,10.0,10.0,1605204827
Soğan istemediğim halde soğan vardi ve 2 ayran istedim 1 ayran gelmisti.,5.0,1.0,10.0,1605032027
Etin içinde kıkırdak dediğimiz yağ bezeleri çok fazlaydı biraz daha ete yoğunluk verilirse lezzet ve kalite ve sunum çok daha iyi olacak iyi günler kolay gelsin.,8.0,8.0,6.0,1604513627
İyi.,8.0,6.0,5.0,1604130281
"Ustam köfte dürüm siparişi vardı fakat tavuk geldi, insanlık hali sorun etmiyorum. Ellerinize sağlık.",8.0,8.0,8.0,1604130281
Adamlar yapıyor bu işi.,10.0,10.0,10.0,1604130281
Hiz ve lezzet tartışmasız notları okuyun servisten puan kırdım.,10.0,8.0,10.0,1604130281
İyi.,8.0,8.0,8.0,1604130281
Her gayet guzeldi tesekurler.,10.0,10.0,10.0,1604130281
Okadar kötüydü ki bir ısırık alıp attik.,1.0,1.0,1.0,1604130281
Hızlı ve kaliteli.,10.0,10.0,10.0,1604130281
Tadi çok kötü.,10.0,1.0,1.0,1604130281
Tavuk incik harika deneyin tavsiye ederim. Sadece soganlar da sumaklı olabilirdi.,10.0,10.0,10.0,1604130281
Hızlı servis kaliteli kurye leziz yemek.,10.0,10.0,10.0,1604130281
5 dakikada da gelmez ki kardeşim nail usta şahlandıracak buraları.,10.0,10.0,10.0,1604130281
Hayatımda yediğim en berbat köfteydi pişmemiş kıyma yedim resmen ilk ısırıktan sonra yiyemedim.,2.0,3.0,1.0,1604130281
Durum çok güzeldi ellerinize sağlık ayrıca sipariş notunu okuduğunuz için ayrıca teşekkür ederim.,10.0,10.0,10.0,1604130281
Berbat.,1.0,1.0,1.0,1604130281
Herzamanki gibi lezzetli.,10.0,10.0,10.0,1604130281
Tavsiye ederim.,10.0,10.0,10.0,1601500535
Mc.,10.0,10.0,10.0,1601500536
Güzeldi.,9.0,8.0,8.0,1601500536
Harika.,10.0,10.0,10.0,1601500536
Bu fiyata yenecek en iyilerden biri köftesi ama müşteri ilgisi sıfır özellikle nota kola soğuk olsun dedim siptiş geldi soğuk değil kola bile göndermemişler birde kurye isterseniz bekleyin yada para iadesi yapalım diyo.,8.0,3.0,8.0,1601500536
Kuru ekmek yiyoruz soğuk tavuk koymayın.,1.0,1.0,1.0,1601500536
Lavaş ve tavuk hiç iyi pişmemişti.,5.0,4.0,1.0,1601500536
Harika.,10.0,10.0,10.0,1601500536
Fiyatıyla karşılaştırdığımızda 10 numara. Şu sitede lezzete 9 verdiğim birkaç yerden biri :) inşallah buraya da zam gelmezz.,8.0,8.0,9.0,1601500536
Köfteleri hiç güzel değildi incik daha güzel.,9.0,6.0,4.0,1601500536
Fantastic.,10.0,10.0,10.0,1601500536
