comment_text,comment_speed,comment_service,comment_taste,comment_time
Güzeldi.,9.0,9.0,9.0,1606628711
"Daha çok yufka yemiş gibi hissettim, yaninda gelen domates ve salatalikta sapı cöpü ayrilsa iyiymis.",8.0,8.0,7.0,1606110311
"Nokulu, ıspartada yediğim en iyi nokul.",10.0,10.0,10.0,1606110311
Sigara böreği pek iyi değildi ama gözleme çok iyi. Pastanenizi beğendim. Ekler harika.,10.0,10.0,10.0,1605764711
Kahvaltılıklar çok taze teşekkürler.,10.0,10.0,10.0,1605505511
Kaşarlı gözlemeye nutella bulaşmış baya.,7.0,7.0,7.0,1598739473
Hızlı servis.,10.0,10.0,10.0,1596109727
Güzel.,8.0,8.0,8.0,1596109727
Daha önce de sipariş vermiştim o zaman gayet güzeldi.. Bu siparişimde pastanın kreması ekşimişti.. Pandispanyasj hariç hepsinin kreması ve üst çıkolatası bayatlamıştı.,5.0,5.0,1.0,1596109727
Süper.,10.0,10.0,10.0,1596109727
İyiydi.,10.0,10.0,10.0,1596109727
Lezzetli sicak gozelemeler geldi begendik.,9.0,9.0,9.0,1593479981
Güzel gibi.,10.0,10.0,10.0,1593479981
Siparişim geç geldi sigara börekleri resmen erimisti.,1.0,1.0,1.0,1593479981
Gözleme ye bı gram yağ yok taşsız tuzsuz yavandi diğer puanlarda nokul ve simit için nokulu çok lezzetli buldum tşkler.,8.0,9.0,7.0,1593479981
Gayet güzeldi. Hızlı geldi.,10.0,6.0,8.0,1593479981
Isıtıp getiriyodunuz soğuk geldiii ama lezzetliydi.,10.0,10.0,10.0,1593479981
Hiç memnun kalmadım. Belirtmek istediğim bir kaç şey var. Domatesli peynirli ve kaşarlı sucuklu gözleme sipariş ettim patatesli ve kaşarlı gözleme geldi. Üstüne bu ürünler arasında fiyat farkı var. Poğaça söyledim oda gelmedi. Üstüne kapıda pos bozuk nakit ödeyebilirmisiniz dediler. 50 60 dkda geldi.,5.0,7.0,7.0,1593479981
Servis tabakları değişse çok daha iyi olur çünkü sıcak olduğu için kömüğü eritiyor oda yediğimiz ürüne yapışıyor bu da çok sağlıksız. Daha iyi bir servis tabağı seçerlerse çok daha iyi olur.,9.0,4.0,7.0,1593479981
Hız da gözleme de güzeldi elinize sağlık.,9.0,9.0,9.0,1593479981
Gözleme gayet güzeldi.,10.0,10.0,9.0,1593479981
