comment_text,comment_speed,comment_service,comment_taste,comment_time
Gayet güzel ve hızlıydı teşekkürler.,10.0,10.0,10.0,1606574064
Guzeldi.,10.0,10.0,10.0,1606574064
"Kokosu çok güzel, şırdan merak ederdim hep ilk kez yedim beğendim, canınız tatlı çekiyosa kabağını da deneyin derim.",10.0,10.0,10.0,1606487664
Yalnız kokoreç değil köftesi de efsane. Özellikle midyeleri inanılmaz güzel.,10.0,10.0,10.0,1606228464
İlk siparişinizde kokoreçin içi çok doluydu ve çok güzeldi ama ikinci kez sipariş verdiğimizde maalesef kokoreç çok azdı. Gözyaşlarıyla kokoreç kokulu ekmek yedik...,8.0,8.0,6.0,1606055664
Çok beğendik kocaman ve kezzetli midyepaketleme özenli çok iyiydi.,10.0,10.0,10.0,1606055664
Kokoreç çok kurumuş ve yanmıştı.,8.0,8.0,7.0,1605882864
Her şey güzel ama biraz daha bol olabilir.,10.0,8.0,10.0,1605623664
Hızlı geldi ama tadı kötü açılı söyledim acısız geldi.,9.0,7.0,3.0,1605537264
Hız ve servis iyiydi ve sıcak geldi. Fakat çok yağlıydı sevenler olabilir ama ben beğenmedim ağır geldi.,9.0,7.0,5.0,1605364464
Kokoreç 7. 5 midye 11 puan.,9.0,9.0,8.0,1605191664
Güzel.,9.0,10.0,8.0,1605018864
Tşk.,10.0,10.0,10.0,1604932464
Harikasınız..,10.0,10.0,10.0,1604500464
Ekmeği yanık ve kuruydu.,5.0,6.0,3.0,1604414064
Süperdi çok lezzetliydi bayıldık tadına istanbul usülü kokoreçin fakat servise 5 puan veriyorum çünkü notlara bebek uyuyor zile basmayın dememize rağmen zil çalındı ve bebek uyandı bu yüzden kokoreçler soğudu.,10.0,5.0,10.0,1604327664
"Midyeleri enfez, izmir kokoreç mükemmel, kokoreç ve midyede sipariş vereceğim tek yer.",10.0,10.0,10.0,1604117118
Siparis hizli ve sicak geldi lezzet deseniz harika.,10.0,10.0,10.0,1604117118
Her şey güzeldi.,10.0,10.0,10.0,1604117118
İzmitte kokoreç konusunda deneyimlerim hep hüsrandı. Burası istenirse izmitte kokoreçinn iyisinin de olabileceğini gösterdi. Umarım bozmazlar.,10.0,10.0,9.0,1604117118
"Kokoreçi çok lezzetliydi. Düzgün pişirilmiş, iyi yapılmıştı belli ki. Midyeler normal midye. Bazıları çok küçüktü ama fiyat sebebiyle böyle olması normal.",8.0,9.0,9.0,1604117118
İnsan midyeleri yollarken uyanmalı bence ben bukadar para alıyorum ama helal olurmu acaba diye.,1.0,1.0,1.0,1604117118
Öğrenci dostu kalitenin doğru adresi...,10.0,10.0,10.0,1604117118
İlkkez izmitte şırdan yedim gerci toplamda 4 5 kere falan yedim açıkcası begendim yani en azın kokmuyo ve temizdi.,10.0,10.0,10.0,1604117118
Hız süper.,10.0,10.0,10.0,1604117118
Şırdan soğuktu içi de çok tuzlu ve pirinçleri pişmemişti.,8.0,7.0,5.0,1604117118
Kokoreç kötü değil denemeye değer. Fakat bana gore şırdan soğuktu içi tam pişmemiş pirinçler diri o nedenle ben beğenmedim ama. Kisiye göre değişir. Midye 5 istedim ama daha fazla gelmiş bu yanı iyi ama boyut olarak çok küçük ve midyeyi çok seven biri olarak ben beğenmedim. Dediğim gibi kokoreç iyi.,10.0,10.0,7.0,1604117118
Elinize sağlık.,10.0,10.0,10.0,1604117119
Kapandı diye üzülmüştüm meğer isim değişikliği yapmıslar elinize sağlıkk.,10.0,10.0,10.0,1604117119
