comment_text,comment_speed,comment_service,comment_taste,comment_time
Nice.,10.0,9.0,10.0,1606599250
Pandemide en guvendigim yer oldu.,10.0,10.0,10.0,1606426450
Tantuni söyledim dürüm söylememe rağmen ekmek geldi içindekinin et olup olmadığı tartışılırdı...,8.0,5.0,1.0,1606080850
Neredeyse her gün sipariş veriyorum. Online ödeme yaptım diye lobiye bırakıp gitmişler. Haber eden kimse yok. Bir daha sipariş vermeyeceğim.,1.0,1.0,1.0,1605821650
Önceki siparişim de daha iyiydi ona güvenerek tekrar sipariş verdim patates kızarması çok kötüydü soğumuş tekrar ısıtılmış gibiydi lütfen patates kızartması gibi kolay hazırlanan yicekleti siparişe göre yapın ben beklerim. Onun dışında tantuni de ilk siparişime göre tadı kötüydü ama açtım ve yedim.,10.0,9.0,4.0,1605821650
Herşey mükemmel ellerinize saglik.,10.0,10.0,10.0,1605735250
Özellikle maydonozsuz diye notta 2 kez belirttiğim halde 2 adet tantuniyi de inatla maydonozlu göndermek nedir anlamıyorum cidden! Ufacık bir siparişi doğru göndermek bu kadar zor olmasa gerek! Normalde restorana gidip yediğimde beğendiğim bir işletme ama paket servisi yıllardır kötü malesef.,1.0,1.0,1.0,1605130450
Lezzetli sıcak geldi doyurucu porsiyonlar. Memnun kaldık.,10.0,10.0,10.0,1604871250
Tavuk tantunisi cok güzeldi fakat lahmacunu maalesef yiyemedim :(.,8.0,9.0,5.0,1604698450
Çok iyiydi gerçekten.,10.0,10.0,10.0,1604439250
Çok geç geldi ve lahmacun istedim içinde ne yeşillik var ne limon. Yoğurtlu tantuni istedim o kadar geç geldik yoğurt kurumuş artık. Bundan dolayı lezzeti de beğenmedim zaten yiyemedim. Gelen ürünün içerisine 4 tane kürdan 5 tane tuz koyacağınıza limon ve yeşillik koyun lütfen.,1.0,1.0,1.0,1604180050
Lezzet hız servis hepsi istediğimizi üstündeydi alanya da tantuni burda yenir.,10.0,10.0,10.0,1603969504
Lezzetli ve hizli servis icin tesekkurler.,10.0,10.0,10.0,1603969504
Başarılı.,10.0,10.0,10.0,1603969504
Bir daha sipariş vermem.,1.0,1.0,1.0,1603969504
Yediğim en güzel pirzola menülerinden elinize sağlık hayırlı kazançlar bol bereketler.,10.0,10.0,10.0,1603969504
Herşey için teşekkürler hem lezzetli hem doyurucu hemde uygun fiyatlı. Herkese tavsiye ederim.,10.0,10.0,10.0,1603969504
Süperdi.,9.0,9.0,9.0,1603969504
Lezzeti yerinde.,8.0,8.0,8.0,1603969504
Lahmacun servisi mükemmeldi herşey konulmuş.,5.0,10.0,8.0,1603969504
Hersey cok guzeldi lezzet olarak hiz olarak servis olarak ama yanlis anlamayin bende bir isletmeciyim bi tık porsiyonlar arttirilabilir cok degil bi tık. Daha dolgun olmalı benim gorusum yinede herseyden 10 puan verdim bundan dolayi puan kiracak degilim. Elinize saglik kolay gelsin iyi calismalar.,10.0,10.0,10.0,1603969504
