comment_text,comment_speed,comment_service,comment_taste,comment_time
İyi.,10.0,10.0,10.0,1606167060
Hersey on numaraydı sadece yanmıştı ve birazda soğuktu hız on numara.,10.0,8.0,8.0,1605907860
Çok güzeldi.,10.0,10.0,10.0,1605821460
Bir süredir sipariş edemiyordum çok özlemişim bazlama tostlarını her şey 10 numara denesem mi diye düşünmenize hiç gerek yok muhteşem lezzetli yapıyorlar bağımlı oluyorsunuz. Ellerinize sağlık bol kazançlar dilerim.,10.0,10.0,10.0,1605735060
"Hızlı geldi, serviste problem yok, lezzeti fazla yavan içindeki ürün miktarı artabilir.",9.0,8.0,6.0,1605130260
Kurye güleryüzlüydü. Patatesler harika ancak sucuklarını beğenmedim.,9.0,9.0,9.0,1604352660
Çiğ geldi yenilecek durumda değil.,8.0,1.0,1.0,1604093460
Karışık tost söyledim çok güzel lezzetliydi doyurucu özellikle patates ve tatlı eşki sosu harikaydı kurye arkadaş ta çok kibar efendi bir insandı herşey için tşk ederim görüşmek üzere.,10.0,10.0,10.0,1603969314
Patatesleri çok başarılı olan mekan. Değişiklik yapmadıkları sürece fiyat performans olarak tercih edilir.,9.0,9.0,9.0,1603969314
Patatesleriniz iyi olduğu için alıyodum kşasik patatese dönmüşsünüz.,10.0,10.0,10.0,1603969314
Mukemmel...,10.0,10.0,10.0,1603969314
Tek kelime ile muhteşemler!,10.0,10.0,10.0,1603969314
Notlar okunmuştu ve ekstra sos ricasında bulunmuştum sağ olsunlar kırmamışlar teşekkür ediyorum kendilerine ek okarak kesinlikle karışık tostlarını deneyin muhteşem yapıyorlar ellerine sağlık hiç bozmadan bu şekilde devam ederler inşallah.,10.0,10.0,10.0,1603969314
İlk defa 10 puanın altında veriyorum sebebi notların okunmaması lütfen notları okuyun. Yemek her zamanki gibi lezizdi hız da aynı şekilde kolay gelsin.,10.0,5.0,10.0,1603969314
"F/p karışık bazlama tostunda mükemmel, değişmemeniz dileğiyle.",10.0,9.0,10.0,1603969314
Pizzanın yanında ne ketçap ne mayonez ne selpak ne ıslak mendil hiç birşey yok ilk ve son sipariş oldu benim için.,10.0,1.0,7.0,1603969314
İçindeki malzemeler pişmiyor kolay gelsin.,6.0,5.0,1.0,1603969314
"Biraz yavas geldi, gece siparis etmemize ragmen ama arayip yogun olduklarini belirtmeleri iyi oldu. Gayet basarili bana gore.",8.0,10.0,10.0,1601339568
Anlatmaya gerek yok.,10.0,10.0,10.0,1601339568
Hız ve lezzetteki puana 1 verenlere şaşırıyorum alanyada tek.,10.0,10.0,10.0,1601339568
Sebzeli bazlama tost.,10.0,10.0,10.0,1601339568
Fiş istememe rağmen fiş yollanmadi. Kurye getireceğim demesine rağmen fiş yine gelmedi.,1.0,1.0,1.0,1601339568
"Gayet güzeldi, elinize sağlık.",10.0,10.0,10.0,1601339568
İçindeki ürünler pişmemiş.,10.0,1.0,1.0,1601339568
Servis geliştirilmeli daha düzgün tabak ve çatal lütfen.,10.0,1.0,10.0,1601339568
Özel sosu ve mükemmel lezzeti ile kaçırılmayacak lezzet.,10.0,10.0,10.0,1601339568
"Karnım tokken bile bazlama tost yerim, elinize sağlık.",9.0,9.0,8.0,1601339568
Salam yerine sucuk kullanın.,10.0,10.0,10.0,1601339568
